Kalem,2024/12,2024/9,2024/6,2024/3,2023/12,2023/9,2023/6,2023/3,2022/12,2022/9,2022/6,2022/3,2021/12,2021/9,2021/6,2021/3,2020/12,2020/9,2020/6,2020/3,2019/12,2019/9,2019/6,2019/3,2018/12,2018/9,2018/6,2018/3,2017/12,2017/9,2017/6,2017/3,2016/12,2016/9,2016/6
Dönen Varlýklar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Nakit ve Nakit Benzerleri,95992000000,62644000000,33184000000,27162000000,20115000000,24908000000,67704000000,50176000000,76192000000,66757000000,58670000000,37249000000,35679000000,26492000000,19563000000,14679000000,13293000000,9864000000,12047000000,10134000000,12328000000,10123000000,7896000000,10221000000,8606000000,16343000000,11628000000,7500000000,7132000000,8679000000,4307000000,5584000000,5159000000,4178000000,3014000000
    Gayrimenkul Projeleri Kapsamýnda Açýlan Nakit Hesaplarý,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Finansal Yatýrýmlar,1.1803E+11,1.50125E+11,1.57193E+11,1.55783E+11,1.57311E+11,1.52939E+11,83123000000,50951000000,11705000000,16434000000,13244000000,8427000000,69000000,94000000,887000000,130000000,131000000,110000000,103000000,1364000000,2377000000,626000000,2941000000,1652000000,2733000000,0,395000000,198000000,736000000,1290000000,4838000000,841000000,1228000000,570000000,191000000
    Teminata Verilen Finansal Varlýklar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Ticari Alacaklar,31908000000,39556000000,38302000000,31971000000,25192000000,23747000000,23292000000,17337000000,18618000000,21326000000,19159000000,14529000000,12323000000,8330000000,7438000000,5990000000,4672000000,3287000000,1896000000,1300000000,3205000000,3672000000,3901000000,3810000000,3002000000,3929000000,2990000000,2803000000,2233000000,2031000000,2040000000,1942000000,1334000000,1479000000,1626000000
    Finans Sektörü Faaliyetlerinden Alacaklar,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Türkiye Cumhuriyet Merkez Bankasý Hesabý,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Diðer Alacaklar,48265000000,46006000000,37886000000,26982000000,26196000000,25140000000,25215000000,18208000000,16387000000,17000000000,14129000000,10604000000,10617000000,7480000000,8002000000,8267000000,8082000000,11049000000,10105000000,7703000000,6424000000,6585000000,9766000000,7869000000,6217000000,7380000000,4516000000,2230000000,1204000000,1507000000,1388000000,2473000000,2977000000,3262000000,3091000000
    Müþteri Sözleþmelerinden Doðan Varlýklar,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Ýmtiyaz Sözleþmelerine Ýliþkin Finansal Varlýklar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
